Date, pos freq, neg freq, pos / neg, volume, volume prev, volume epsilon, close, close prev, close epsilon
2008-09-19, 0.039590, 0.012070, 3.279924, 531247600.000000, 258805148.044150, 272442451.955850, 4324.870000, 3958.491268, 366.378732
2008-09-22, 0.037251, 0.011600, 3.211174, 207092300.000000, 395270550.004924, -188178250.004924, 4223.510000, 4299.653714, -76.143714
2008-09-23, 0.037311, 0.011553, 3.229680, 191699800.000000, 286195300.924077, -94495500.924077, 4139.820000, 4251.815375, -111.995375
2008-09-24, 0.038399, 0.011809, 3.251762, 162917400.000000, 225243919.444924, -62326519.444924, 4114.540000, 4141.206707, -26.666707
2008-09-25, 0.036034, 0.010791, 3.339216, 179839400.000000, 214763132.047345, -34923732.047345, 4226.810000, 4119.418730, 107.391270
2008-09-26, 0.036928, 0.012301, 3.002153, 144137000.000000, 231720249.900481, -87583249.900481, 4163.380000, 4200.401782, -37.021782
2008-09-29, 0.035816, 0.012034, 2.976256, 221762500.000000, 182289770.045872, 39472729.954128, 3953.480000, 4184.270765, -230.790765
2008-09-30, 0.036751, 0.011325, 3.245167, 250933100.000000, 194202823.113987, 56730276.886013, 4032.100000, 3974.371552, 57.728448
2008-10-01, 0.036141, 0.011556, 3.127422, 166047600.000000, 215822363.246466, -49774763.246466, 4054.540000, 4020.749291, 33.790709
2008-10-02, 0.034670, 0.011998, 2.889706, 198487200.000000, 180144551.871665, 18342648.128335, 3963.280000, 4056.384590, -93.104590
2008-10-03, 0.036553, 0.012200, 2.996209, 208459400.000000, 182113610.874020, 26345789.125980, 4080.750000, 3977.513018, 103.236982
2008-10-06, 0.037930, 0.012107, 3.132986, 277662200.000000, 201417878.508803, 76244321.491197, 3711.980000, 4077.003719, -365.023719
2008-10-07, 0.036533, 0.012387, 2.949183, 258330700.000000, 240782406.523275, 17548293.476725, 3732.220000, 3751.355350, -19.135350
2008-10-08, 0.036501, 0.012248, 2.980232, 372820900.000000, 235580976.652628, 137239923.347372, 3496.890000, 3716.534264, -219.644264
2008-10-09, 0.033717, 0.012049, 2.798323, 272566700.000000, 290497083.086602, -17930383.086602, 3442.700000, 3536.895887, -94.195887
2008-10-10, 0.036881, 0.012933, 2.851719, 466142400.000000, 268056587.276862, 198085812.723138, 3176.490000, 3435.860077, -259.370077
2008-10-13, 0.036060, 0.011667, 3.090724, 301050400.000000, 356978073.366972, -55927673.366972, 3531.500000, 3228.778020, 302.721980
