Date,Open,High,Low,Close,Volume,Adj Close
2011-12-05,3206.67,3215.78,3183.57,3201.28,135224000,3201.28
2011-12-02,3167.31,3201.06,3151.41,3164.95,160039800,3164.95
2011-12-01,3151.35,3168.92,3119.74,3129.95,150485200,3129.95
2011-11-30,2992.14,3166.55,2986.28,3154.62,246590000,3154.62
2011-11-29,2995.96,3047.87,2972.10,3026.76,129577200,3026.76
2011-11-28,2897.48,3012.93,2890.76,3012.93,162111800,3012.93
2011-11-25,2822.85,2871.49,2793.22,2856.97,128025400,2856.97
2011-11-24,2849.50,2876.31,2807.06,2822.25,165475000,2822.25
2011-11-23,2840.29,2881.56,2822.43,2822.43,183383800,2822.43
2011-11-22,2925.32,2941.76,2870.68,2870.68,166526600,2870.68
2011-11-21,2981.79,2981.79,2894.94,2894.94,140566000,2894.94
2011-11-18,2989.97,3026.39,2979.60,2997.01,126345000,2997.01
2011-11-17,3052.94,3064.15,3000.67,3010.29,140556200,3010.29
2011-11-16,3038.60,3102.24,3027.44,3064.90,125450600,3064.90
2011-11-15,3082.04,3097.98,3030.16,3049.13,145882800,3049.13
2011-11-14,3169.43,3174.32,3090.23,3108.95,131608000,3108.95
2011-11-11,3070.33,3154.98,3057.04,3149.38,142159800,3149.38
2011-11-10,3011.39,3122.29,3008.73,3064.84,185762800,3064.84
2011-11-09,3170.16,3183.41,3046.36,3075.16,206955600,3075.16
2011-11-08,3104.93,3193.62,3102.67,3143.30,178067200,3143.30
2011-11-07,3087.98,3144.04,3053.10,3103.60,206315000,3103.60
2011-11-04,3219.71,3228.11,3113.44,3123.55,252337800,3123.55
2011-11-03,3039.57,3221.94,3029.44,3195.47,227668200,3195.47
2011-11-02,3117.88,3134.83,3049.70,3110.59,163604400,3110.59
2011-11-01,3162.57,3181.66,3057.26,3068.33,265743800,3068.33
2011-10-31,3302.78,3310.30,3242.84,3242.84,162597600,3242.84
2011-10-28,3378.58,3411.22,3333.29,3348.63,187220400,3348.63
2011-10-27,3300.72,3372.54,3243.79,3368.62,282367000,3368.62
2011-10-26,3167.66,3227.97,3146.11,3169.62,139979600,3169.62
2011-10-25,3202.06,3228.38,3150.13,3174.29,145688400,3174.29
2011-10-24,3190.71,3224.09,3156.37,3220.46,127798000,3220.46
2011-10-21,3110.20,3171.34,3092.43,3171.34,158792600,3171.34
2011-10-20,3108.36,3148.40,3082.12,3084.07,188070600,3084.07
2011-10-19,3166.24,3184.33,3137.05,3157.34,187332800,3157.34
2011-10-18,3125.24,3152.09,3088.32,3141.10,153524600,3141.10
2011-10-17,3241.97,3266.57,3149.93,3166.06,155771600,3166.06
2011-10-14,3200.52,3250.48,3180.05,3217.89,154156800,3217.89
2011-10-13,3212.54,3251.62,3168.38,3186.94,210298800,3186.94
2011-10-12,3136.55,3238.07,3121.16,3229.76,195669400,3229.76
2011-10-11,3151.87,3156.09,3115.05,3153.52,147086200,3153.52
2011-10-10,3121.41,3162.73,3094.17,3161.47,138238600,3161.47
2011-10-07,3073.94,3126.00,3052.46,3095.56,168207000,3095.56
2011-10-06,2999.78,3075.37,2995.38,3075.37,211300200,3075.37
2011-10-05,2921.30,2973.90,2887.82,2973.90,189958600,2973.90
2011-10-04,2884.54,2884.62,2808.22,2850.55,220968200,2850.55
2011-10-03,2913.07,2946.38,2888.83,2926.83,161438000,2926.83
2011-09-30,3009.26,3021.97,2948.24,2981.96,176677200,2981.96
2011-09-29,2978.26,3060.43,2974.98,3027.65,164273800,3027.65
2011-09-28,2990.47,3055.67,2969.49,2995.62,162366600,2995.62
2011-09-27,2943.32,3023.38,2910.22,3023.38,208513200,3023.38
2011-09-26,2754.82,2916.75,2753.27,2859.34,202905000,2859.34
2011-09-23,2821.43,2823.97,2693.21,2810.11,226499000,2810.11
2011-09-22,2857.86,2863.76,2771.20,2781.68,230090800,2781.68
2011-09-21,2982.86,2982.86,2929.97,2935.82,154303600,2935.82
2011-09-20,2918.07,2991.21,2909.75,2984.05,202852800,2984.05
2011-09-19,2960.93,2978.34,2921.98,2940.00,176380200,2940.00
2011-09-16,3084.16,3084.16,3014.45,3031.08,360134400,3031.08
2011-09-15,2969.46,3086.64,2960.69,3045.62,231246600,3045.62
2011-09-14,2851.69,2956.74,2849.73,2949.14,234078800,2949.14
2011-09-13,2910.44,2910.44,2769.97,2894.93,247813400,2894.93
2011-09-12,2880.46,2894.03,2820.76,2854.81,267001600,2854.81
2011-09-09,3064.94,3077.42,2967.17,2974.59,220775200,2974.59
2011-09-08,3070.58,3116.21,3044.38,3085.83,146587000,3085.83
2011-09-07,3038.57,3073.18,3015.97,3073.18,148162400,3073.18
2011-09-06,2998.29,3042.63,2942.78,2965.64,227916000,2965.64
2011-09-05,3072.51,3083.23,2977.18,2999.54,210686000,2999.54
2011-09-02,3226.94,3226.94,3132.66,3148.53,170000200,3148.53
2011-09-01,3273.05,3295.54,3207.32,3265.83,176261000,3265.83
2011-08-31,3179.21,3263.09,3164.51,3256.76,179748000,3256.76
2011-08-30,3186.77,3193.17,3129.04,3159.74,116729200,3159.74
2011-08-29,3141.19,3174.43,3117.94,3154.20,88143400,3154.20
2011-08-26,3113.84,3122.23,3014.31,3087.64,147228800,3087.64
2011-08-25,3167.66,3189.42,3096.54,3119.00,165541000,3119.00
2011-08-24,3114.98,3166.82,3075.48,3139.55,137490200,3139.55
2011-08-23,3088.75,3137.37,3051.16,3084.37,144741200,3084.37
2011-08-22,2989.60,3114.14,2989.60,3051.36,140543000,3051.36
2011-08-19,3060.83,3078.28,2947.91,3016.99,236184000,3016.99
2011-08-18,3216.77,3224.33,3048.41,3076.04,225148200,3076.04
2011-08-17,3211.49,3288.82,3182.27,3254.34,139923000,3254.34
2011-08-16,3215.50,3230.90,3162.21,3230.90,140077000,3230.90
2011-08-15,3248.14,3259.59,3201.12,3239.06,130932600,3239.06
2011-08-12,3094.84,3216.67,3017.19,3213.88,262638400,3213.88
2011-08-11,3101.87,3101.87,2891.11,3089.66,403786200,3089.66
2011-08-10,3235.80,3235.80,3001.25,3002.99,396477400,3002.99
2011-08-09,3131.84,3201.68,2979.87,3176.19,409099800,3176.19
2011-08-08,3254.36,3333.61,3125.19,3125.19,324537000,3125.19
2011-08-05,3218.39,3389.87,3218.39,3278.56,373071600,3278.56
2011-08-04,3515.11,3515.11,3315.34,3320.35,285921000,3320.35
2011-08-03,3472.94,3518.55,3441.39,3454.94,270629800,3454.94
2011-08-02,3567.51,3592.30,3522.79,3522.79,187298600,3522.79
2011-08-01,3718.11,3722.59,3585.62,3588.05,195464800,3588.05
2011-07-29,3661.32,3691.09,3630.75,3672.77,217617000,3672.77
2011-07-28,3706.98,3721.37,3669.27,3712.66,247657600,3712.66
2011-07-27,3774.54,3776.98,3711.19,3734.07,163482000,3734.07
2011-07-26,3819.23,3835.10,3767.53,3787.88,131683400,3787.88
2011-07-25,3813.50,3845.06,3808.16,3812.97,122284800,3812.97
2011-07-22,3855.43,3866.34,3817.61,3842.70,151585800,3842.70
2011-07-21,3769.86,3839.96,3712.21,3816.75,219725600,3816.75
2011-07-20,3724.57,3759.48,3709.95,3754.60,159089600,3754.60
