Date, #words, #positive, #negative, pos freq, neg freq, volume, close
2004-01-01, 30964, 791, 378, 0.02554579511690996, 0.012207725100116263, , 
2004-01-02, 81655, 2849, 928, 0.03489069867123875, 0.011364888861674118, 0, 3596.8
2004-01-03, 44283, 1201, 569, 0.02712101709459612, 0.012849174626831968, , 
2004-01-05, 148177, 5275, 1875, 0.035599317033007824, 0.012653785675239747, 0, 3608.29
2004-01-06, 100011, 3449, 1234, 0.0344862065172831, 0.012338642749297577, 0, 3595.82
2004-01-07, 123872, 4409, 1442, 0.03559319297339189, 0.01164104882459313, 0, 3563.51
2004-01-08, 112720, 3766, 1395, 0.03341022001419446, 0.012375798438608943, 0, 3592.73
2004-01-09, 139877, 4713, 1659, 0.033693888201777274, 0.011860420226341714, 0, 3574.8
2004-01-10, 62778, 1711, 788, 0.027254770779572463, 0.012552167956927585, , 
2004-01-12, 152714, 5567, 1905, 0.03645376324371047, 0.012474298361643333, 0, 3560.1
2004-01-13, 118656, 4197, 1524, 0.0353711569579288, 0.012843851132686084, 0, 3576.18
2004-01-14, 141277, 5195, 1703, 0.03677173212907975, 0.012054332977059252, 0, 3612.55
2004-01-15, 136142, 5136, 1643, 0.03772531621395308, 0.01206828164710376, 0, 3626.97
2004-01-16, 138164, 4897, 1790, 0.0354433861208419, 0.012955617961263426, 0, 3671.8
2004-01-17, 46568, 1616, 664, 0.034701941247208386, 0.01425871843325889, , 
2004-01-19, 113770, 4312, 1419, 0.03790102839061264, 0.012472532302012833, 0, 3689.97
2004-01-20, 122294, 4707, 1489, 0.03848921451583888, 0.012175576888481855, 0, 3660.19
2004-01-21, 145824, 5338, 1605, 0.03660577134079438, 0.011006418696510862, 0, 3676.38
2004-01-22, 157234, 5657, 1868, 0.03597822353943803, 0.01188038210565145, 0, 3695.6
2004-01-23, 128502, 4520, 1651, 0.035174549812454284, 0.012848049057602217, 0, 3693.36
2004-01-24, 51677, 1701, 647, 0.032915997445672154, 0.012520076629835323, , 
2004-01-26, 68888, 2439, 909, 0.03540529555220067, 0.013195331552665196, 0, 3675.72
2004-01-27, 128570, 4729, 1576, 0.03678151979466439, 0.012257913976821964, 0, 3697.42
2004-01-28, 137287, 5326, 1642, 0.03879464188160569, 0.011960345844836, 0, 3706.79
2004-01-29, 130396, 4960, 1687, 0.038037976625049846, 0.012937513420657075, 0, 3662.3
2004-01-30, 149173, 5240, 1795, 0.03512700019440516, 0.012033008654381155, 0, 3638.44
2004-01-31, 49067, 1577, 698, 0.03213972731163511, 0.014225446837997025, , 
2004-02-02, 143072, 5321, 1816, 0.03719106463878327, 0.012692909863565197, 0, 3665.02
2004-02-03, 99128, 3683, 1297, 0.03715398272940037, 0.01308409329351949, 0, 3638.21
2004-02-04, 153605, 5780, 1876, 0.03762898343152892, 0.012213144103382052, 0, 3607.57
2004-02-05, 130118, 5063, 1603, 0.03891083478073749, 0.012319586836563734, 0, 3610.31
2004-02-06, 164624, 5924, 1927, 0.03598503255904364, 0.011705462144037322, 0, 3624.72
2004-02-07, 5183, 99, 51, 0.01910090681072738, 0.009839861084314104, , 
2004-02-09, 151433, 5430, 1965, 0.03585744190500089, 0.012976035606505848, 0, 3663.73
2004-02-10, 136305, 5048, 1648, 0.03703459154102931, 0.012090532262206083, 0, 3668.45
2004-02-11, 169401, 6549, 2047, 0.0386597481714984, 0.012083753932975602, 0, 3677.85
2004-02-12, 138271, 4947, 1750, 0.035777567241142394, 0.012656305371336, 0, 3681.56
2004-02-13, 149379, 5339, 1916, 0.03574130232495866, 0.012826434773294773, 0, 3649.34
2004-02-14, 43553, 1172, 546, 0.026909742153238582, 0.012536449842720364, , 
2004-02-16, 136617, 5007, 1722, 0.036649904477480844, 0.01260458068907969, 0, 3678.07
2004-02-17, 112207, 4283, 1427, 0.038170524120598535, 0.012717566640227437, 0, 3703.82
2004-02-18, 137616, 4726, 1790, 0.03434193698407162, 0.013007208464132078, 0, 3709.02
2004-02-19, 129242, 4541, 1574, 0.0351356370220207, 0.012178703517432414, 0, 3759.32
2004-02-20, 130178, 4498, 1690, 0.03455268939452135, 0.01298222433898201, 0, 3733.28
2004-02-21, 42418, 1176, 504, 0.02772407940025461, 0.011881748314394832, , 
2004-02-23, 153401, 5643, 1799, 0.036785940117730655, 0.011727433328335538, 0, 3731.15
2004-02-24, 102914, 3717, 1323, 0.03611753502924772, 0.012855393823969528, 0, 3683.44
2004-02-25, 125102, 4400, 1477, 0.035171300219021276, 0.011806366005339642, 0, 3702.63
2004-02-26, 128391, 4468, 1455, 0.034799947036786065, 0.011332570039956072, 0, 3714.49
2004-02-27, 134170, 4463, 1825, 0.03326376984422747, 0.01360214653052098, 0, 3725.44
2004-02-28, 50465, 1289, 604, 0.02554245516694739, 0.011968691172099475, , 
